event_id,matched_to_event_id,market,index_name,event_ticker,event_phase,event_type,inclusion,event_date,sector,car_m1_p1,car_m3_p3,car_m5_p5,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
US-sp500-us02-20240316-20240325-01,US-sp500-us02-20240316-20240325-01,US,SP500,US02,effective,inclusion,1,2024-03-25,Technology,0.06942348271172599,0.06225166270103551,0.056458023588228906,0.10596663809297002,23.14790959402884,0.0010276016728766255,0.12683322491616167,0.007070376731806254
US-sp500-us02-20240316-20240325-01-ctrl-01,US-sp500-us02-20240316-20240325-01,US,SP500,US06,announce,inclusion,0,2024-03-18,Energy,-0.027115636871329,-0.015232957887280801,0.0091290787651302,0.06588996220846277,23.66846436442711,-0.0016805347552259799,-0.017910654428170858,-0.00896790879159183
US-sp500-us02-20240316-20240325-01-ctrl-01,US-sp500-us02-20240316-20240325-01,US,SP500,US06,effective,inclusion,0,2024-03-25,Energy,0.0283600290596128,0.0494937081507533,0.0190091330617333,0.06132582428445055,23.688971584405003,-0.0023831309070830725,-0.0638726504478484,0.00803093400891031
US-sp500-us02-20240316-20240325-01-ctrl-02,US-sp500-us02-20240316-20240325-01,US,SP500,US04,announce,inclusion,0,2024-03-18,Healthcare,-0.014926610568242201,-0.020718214202213595,-0.054804502096002204,-0.0816812674753532,23.870176464503825,-0.0014169698545181408,-0.10197169241360271,0.00794763427032623
US-sp500-us02-20240316-20240325-01-ctrl-02,US-sp500-us02-20240316-20240325-01,US,SP500,US04,effective,inclusion,0,2024-03-25,Healthcare,-0.0482062565668389,-0.035462827459354904,-0.0321216016991901,-0.02924237923677009,23.86021056527502,0.0011298702976656194,-0.03080304143379209,-0.015540517179696312
US-sp500-us02-20240316-20240325-01-ctrl-03,US-sp500-us02-20240316-20240325-01,US,SP500,US08,announce,inclusion,0,2024-03-18,Utilities,0.017049360387961,0.0402302251328851,0.0336959357400103,0.03359267433042179,23.99313498347724,-0.00011876172097526408,-0.010526318863121276,-0.005271196631780649
US-sp500-us02-20240316-20240325-01-ctrl-03,US-sp500-us02-20240316-20240325-01,US,SP500,US08,effective,inclusion,0,2024-03-25,Utilities,-0.013504423168043601,0.006074906868460701,-9.506946662929828e-05,0.0618863695330274,23.981835231085164,0.0017315719597738866,-0.038319715529326004,0.004653558365200329
US-sp500-us03-20240406-20240415-01,US-sp500-us03-20240406-20240415-01,US,SP500,US03,announce,inclusion,1,2024-04-08,Consumer,0.0545760104246755,0.0553801600145053,0.1357408167577961,0.03260994318267052,24.049166101197798,0.0048906815280389294,0.2131270863592576,0.015523550794558656
US-sp500-us03-20240406-20240415-01,US-sp500-us03-20240406-20240415-01,US,SP500,US03,effective,inclusion,1,2024-04-15,Consumer,0.1114900591387061,0.0836777678529573,0.14158866133646508,0.11374796714202584,24.071198995634568,0.005585376488323086,0.09602269302699185,-0.006729679156989389
US-sp500-us03-20240406-20240415-01-ctrl-01,US-sp500-us03-20240406-20240415-01,US,SP500,US05,announce,inclusion,0,2024-04-08,Finance,-0.0250252193276551,-0.043343879937390396,-0.001914443495700701,0.008051858693007174,24.167831666794616,7.827864925541092e-05,-0.05480711337647293,-0.0006697332284851774
US-sp500-us03-20240406-20240415-01-ctrl-01,US-sp500-us03-20240406-20240415-01,US,SP500,US05,effective,inclusion,0,2024-04-15,Finance,0.027067108702788698,0.0351252303358776,0.0089964496826377,-0.06502103015133287,24.15128607607195,-0.0006969654505627684,-0.01073563238710662,-0.0021809016756006404
US-sp500-us03-20240406-20240415-01-ctrl-02,US-sp500-us03-20240406-20240415-01,US,SP500,US07,announce,inclusion,0,2024-04-08,Materials,0.0008996693127966008,-0.0049944194243450955,-0.0266190583298862,-0.05882432404721294,23.97162231936525,-0.0042947521392438445,-0.021963652905547804,0.011780749283263395
US-sp500-us03-20240406-20240415-01-ctrl-02,US-sp500-us03-20240406-20240415-01,US,SP500,US07,effective,inclusion,0,2024-04-15,Materials,-0.020132053163725704,-0.0038059935799858984,0.012299073203273397,0.0002150168124233076,23.994509474537566,0.0016909194639654762,-0.013082304733533334,0.0015622050340480653
US-sp500-us03-20240406-20240415-01-ctrl-03,US-sp500-us03-20240406-20240415-01,US,SP500,US08,announce,inclusion,0,2024-04-08,Utilities,0.0006084997550257001,0.013926981704171799,0.0145627718303745,-0.02642663641716858,23.931483547128025,0.0018912431641751673,-0.0019027484270601747,0.0013726648644702792
US-sp500-us03-20240406-20240415-01-ctrl-03,US-sp500-us03-20240406-20240415-01,US,SP500,US08,effective,inclusion,0,2024-04-15,Utilities,0.0531770833059426,0.0893563737522822,0.08033186443838382,-0.01684014843435533,23.97615142746001,0.000664984596638895,-0.020691987877469842,0.008502304545633324
